frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
276,1.0,[2047.8043496003545 1228.9563402424187 2618.576927530493 1707.8870307812495],[2238.2197265625 1527.363037109375 2463.5361328125 1606.6817626953125],0.5719543695449829,AP05JEO,0.13499412342795916
277,1.0,[2049.0794314736313 1229.9758327046866 2619.2509773310976 1708.881143757083],[2238.240234375 1527.396240234375 2463.4921875 1606.6669921875],0.5702440738677979,AP05JEO,0.13499412342795916
278,1.0,[2050.7832908228156 1230.9941331701998 2621.041460747295 1709.8129988733458],[2240.0888671875 1526.1298828125 2444.94677734375 1604.518798828125],0.5291898846626282,AP05JEU,0.11366845266433738
279,1.0,[2054.698442028834 1232.5766779835585 2622.6411624601856 1713.419479339721],[2250.41552734375 1535.5352783203125 2452.521484375 1610.6744384765625],0.437799334526062,AP05JEO,0.10188786116526033
280,1.0,[2052.582138767654 1232.578401995248 2623.3308906698903 1716.5373781593375],[2268.365478515625 1539.5657958984375 2463.938232421875 1612.5113525390625],0.36663246154785156,AP05JEO,0.17127198085849477
281,1.0,[2050.2481630492116 1235.4255669821039 2622.5076298473 1721.9072391615066],[2264.75341796875 1543.33447265625 2463.1123046875 1624.370361328125],0.4840434193611145,AP05JEO,0.21113846898356842
282,1.0,[2051.2635801486713 1237.4324484915915 2624.970047188268 1726.1487862748477],[2243.71240234375 1537.732666015625 2448.6884765625 1622.3226318359375],0.37970781326293945,AP05JEO,0.17732937773723983
282,8.0,[1082.9398744990694 1131.8861035761736 1595.4111817996904 1579.1040078270983],[1256.581787109375 1397.058837890625 1416.0234375 1475.2840576171875],0.29236727952957153,KH05ZZG,0.06578143410246659
283,1.0,[2051.4914020883457 1237.7134115451358 2626.1672190827207 1728.0664245704647],[2243.975830078125 1537.7509765625 2448.604248046875 1622.312744140625],0.37939608097076416,AP05JEO,0.17732937773723983
284,1.0,[2051.3264783027557 1237.982670287564 2627.5834883701696 1729.6050104293781],[2271.597412109375 1540.9727783203125 2469.6142578125 1626.6280517578125],0.38214781880378723,AP05JEO,0.12877061967643935
285,1.0,[2047.9047676547107 1239.9143624221622 2627.3026845276772 1733.5916942017132],[2246.76806640625 1541.7847900390625 2461.238525390625 1623.6263427734375],0.5065416097640991,AP05JEO,0.17864480983269249
